Date,harga_saham
2022-11-30,4.04
2022-11-29,3.98
2022-11-28,3.98
2022-11-25,4.03
2022-11-24,4.03
2022-11-23,3.97
2022-11-22,4.0
2022-11-21,4.03
2022-11-18,4.01
2022-11-17,4.04
2022-11-16,4.05
2022-11-15,4.05
2022-11-14,4.05
2022-11-11,4.15
2022-10-11,4.17
2022-09-11,4.19
2022-08-11,4.22
2022-07-11,4.28
2022-04-11,4.21
2022-03-11,4.13
2022-02-11,4.22
2022-01-11,4.42
2022-10-31,4.39
2022-10-28,4.45
2022-10-27,4.37
2022-10-26,4.37
2022-10-25,4.39
2022-10-24,4.41
2022-10-21,4.36
2022-10-20,4.35
2022-10-19,4.2
2022-10-18,4.25
2022-10-17,4.33
2022-10-14,4.29
2022-10-13,4.3
2022-12-10,4.34
2022-11-10,4.31
2022-10-10,4.42
2022-07-10,4.35
2022-06-10,4.43
2022-05-10,4.46
2022-04-10,4.44
2022-03-10,4.46
2022-09-30,4.46
2022-09-29,4.44
2022-09-28,4.47
2022-09-27,4.44
2022-09-26,4.46
2022-09-23,4.38
2022-09-22,4.43
2022-09-21,4.43
2022-09-20,4.48
2022-09-19,4.5
2022-09-16,4.41
2022-09-15,4.5
2022-09-14,4.48
2022-09-13,4.52
2022-12-09,4.54
2022-09-09,4.6
2022-08-09,4.56
2022-07-09,4.49
2022-06-09,4.51
2022-05-09,4.62
2022-02-09,4.6
2022-01-09,4.58
2022-08-31,4.56
2022-08-30,4.48
2022-08-29,4.52
2022-08-26,4.49
2022-08-25,4.57
2022-08-24,4.75
2022-08-23,4.66
2022-08-22,4.65
2022-08-19,4.6
2022-08-18,4.55
2022-08-16,4.41
2022-08-15,4.45
2022-12-08,4.55
2022-11-08,4.57
2022-10-08,4.56
2022-09-08,4.64
2022-08-08,4.7
2022-05-08,4.65
2022-04-08,4.55
2022-03-08,4.5
2022-02-08,4.45
2022-01-08,4.3
2022-07-29,4.23
2022-07-28,4.24
2022-07-27,4.3
2022-07-26,4.25
2022-07-25,4.24
2022-07-22,4.23
2022-07-21,4.26
2022-07-20,4.21
2022-07-19,4.16
2022-07-18,4.19
2022-07-15,4.15
2022-07-14,4.02
2022-07-13,3.94
2022-12-07,4.01
2022-11-07,4.04
2022-08-07,4.01
2022-07-07,4.04
2022-06-07,4.02
2022-05-07,3.99
2022-04-07,3.99
2022-01-07,4.02
2022-06-30,4.0
2022-06-29,4.04
2022-06-28,4.03
2022-06-27,4.07
2022-06-24,4.15
2022-06-23,4.16
2022-06-22,4.05
2022-06-21,4.11
2022-06-20,4.04
2022-06-17,4.12
2022-06-16,4.04
2022-06-15,4.06
2022-06-14,4.11
2022-06-13,4.08
2022-10-06,4.02
2022-09-06,4.05
2022-08-06,4.1
2022-07-06,4.25
2022-06-06,4.34
2022-03-06,4.31
2022-02-06,4.29
2022-05-31,4.31
2022-05-30,4.25
2022-05-27,4.3
2022-05-25,4.2
2022-05-24,4.15
2022-05-23,4.11
2022-05-20,4.17
2022-05-19,4.21
2022-05-18,4.25
2022-05-17,4.18
2022-05-13,4.26
2022-12-05,4.3
2022-11-05,4.33
2022-10-05,4.34
2022-09-05,4.31
2022-04-28,4.62
2022-04-27,4.77
2022-04-26,4.76
2022-04-25,4.71
2022-04-22,4.62
2022-04-21,4.62
2022-04-20,4.63
2022-04-19,4.68
2022-04-18,4.71
2022-04-14,4.68
2022-04-13,4.69
2022-12-04,4.63
2022-11-04,4.59
2022-08-04,4.58
2022-07-04,4.54
2022-06-04,4.43
2022-05-04,4.52
2022-04-04,4.54
2022-01-04,4.58
2022-03-31,4.58
2022-03-30,4.58
2022-03-29,4.56
2022-03-28,4.6
2022-03-25,4.52
2022-03-24,4.56
2022-03-23,4.55
2022-03-22,4.55
2022-03-21,4.55
2022-03-18,4.54
2022-03-17,4.48
2022-03-16,4.63
2022-03-15,4.62
2022-03-14,4.58
2022-11-03,4.59
2022-10-03,4.41
2022-09-03,4.44
2022-08-03,4.62
2022-07-03,4.51
2022-04-03,4.4
2022-02-03,4.29
2022-01-03,4.35
2022-02-25,4.34
2022-02-24,4.24
2022-02-23,4.35
2022-02-22,4.3
2022-02-21,4.37
2022-02-18,4.4
2022-02-17,4.41
2022-02-16,4.4
2022-02-15,4.41
2022-02-14,4.4
2022-11-02,4.45
2022-10-02,4.46
2022-09-02,4.28
2022-08-02,4.23
2022-07-02,4.29
2022-04-02,4.23
2022-03-02,4.2
2022-02-02,4.17
2022-01-31,4.19
2022-01-28,4.26
2022-01-27,4.27
2022-01-26,4.39
2022-01-25,4.29
2022-01-24,4.3
2022-01-21,4.33
2022-01-20,4.22
2022-01-19,4.25
2022-01-18,4.25
2022-01-17,4.18
2022-01-14,4.19
2022-01-13,4.18
2022-12-01,4.11
2022-11-01,4.09
2022-10-01,4.1
2022-07-01,4.17
2022-06-01,4.12
2022-05-01,4.05
2022-04-01,4.17
2022-03-01,4.18
2021-12-30,4.04
2021-12-29,4.08
2021-12-28,4.09
2021-12-27,4.08
2021-12-24,4.11
2021-12-23,4.16
2021-12-22,4.11
2021-12-21,4.16
2021-12-20,4.08
2021-12-17,4.1
2021-12-16,4.1
2021-12-15,4.08
2021-12-14,4.1
2021-12-13,4.08
2021-10-12,4.15
2021-09-12,4.15
2021-08-12,4.09
2021-07-12,4.15
2021-06-12,4.17
